Sloeret_SkibID,Skib_Nationalitet,Fangst,Redskab,Art,Fiske_Zone,Afs_Havn,Afsejling_Datomedtid,Ankomst_Datomedtid,Fng_Um_Eng,Fng_Um_Egenskab
JLT?S8F3,DNK,2,OTB,RTG,EEC,9040,1/3/21 5:45,1/3/21 19:05,LSC,Legally sized catch
JLTCS5F2,DNK,80,GNS,SKR,EEC,1004,1/2/21 7:00,1/2/21 14:00,LSC,Legally sized catch
JLTCS9F/,DNK,50,FPN,BLL,EEC,1019,1/28/21 8:00,1/28/21 9:00,LSC,Legally sized catch
JLTPS2F7,DNK,3,GTR,SLH,EEC,9040,1/2/21 6:30,1/2/21 12:50,LSC,Legally sized catch
"JMT/S1F4,DNK,""15,000"",OTM,SPE,EEC,23001,1/3/21 17:40,1/10/21 19:33,LSC,Legally sized catch"
JMT/S2F2,DNK,55,GTR,ISG,EEC,22007,1/2/21 8:30,1/2/21 12:00,LSC,Legally sized catch
JMT/S3F4,DNK,1,UNK,YYY,EEC,27015,1/4/21 11:30,1/4/21 14:20,AMS,Above maximum size
"JMT/S6F.,DNK,""5,000"",DRB,BMX,EEC,17004,1/11/21 3:40,1/11/21 17:00,LSC,Legally sized catch"
JMT/S6F1,DNK,300,OTB,SKI,EEC,23001,1/4/21 12:00,1/12/21 22:00,LSC,Legally sized catch
"JMT/S6F2,DNK,""16,000"",DRO,BMX,EEC,27019,1/5/21 5:00,1/5/21 13:30,LSC,Legally sized catch"
JMT0S1F4,DNK,28,GN,TOR,EEC,23001,1/1/21 6:00,1/1/21 17:00,LSC,Legally sized catch
JMT0S2F0,DNK,2,SDN,TOR,EEC,6055,1/6/21 16:14,1/8/21 20:50,BMS,Below minimum size
JMT0S2F3,DNK,65,GTR,SLH,EEC,22007,1/7/21 23:15,1/11/21 12:40,LSC,Legally sized catch
JMT0S2F5,DNK,125,TBB,HRJ,EEC,20001,1/2/21 9:20,1/4/21 8:00,LSC,Legally sized catch
JMT0S3F3,DNK,50,OTB,TOR,EEC,9040,1/2/21 3:30,1/2/21 13:45,LSC,Legally sized catch
JMT0S3F6,DNK,200,OTB,KUL,EEC,23001,1/4/21 15:00,1/16/21 20:00,LSC,Legally sized catch
JMT0S3F7,DNK,500,OTB,HVL,EEC,23001,1/2/21 16:50,1/15/21 15:00,LSC,Legally sized catch
JMT0S4F0,DNK,2,OTB,KMS,EEC,23001,1/1/21 8:30,1/4/21 1:32,LSC,Legally sized catch
JMT0S4F5,DNK,38,GTR,TNG,EEC,23001,1/1/21 16:00,1/6/21 4:30,LSC,Legally sized catch
JMT0S5F6,DNK,90,TBB,HAT,EEC,23001,1/1/21 12:45,1/4/21 1:30,LSC,Legally sized catch
"JMT0S6F1,DNK,""13,000"",BMS,BMX,EEC,25014,1/9/21 4:15,1/9/21 14:30,LSC,Legally sized catch"
JMT0S9F0,DNK,5,GNS,KSO,EEC,13003,1/9/21 7:00,1/9/21 17:46,LSC,Legally sized catch
